name;brand;type;rating_value;rating_count;year;segment;perfumers;families;top_notes;middle_notes;bottom_notes;users_notes;url
KETU BYTWO & YUDASHKIN;BYTWO;Парфюмерная вода;5,0;7 оценок;;;[];['wood', 'floral', 'aromatic', 'balsamic'];[];['dagil', 'geranium', 'cardamom', 'ladan', 'lavender', 'musk', 'sandal', 'saffron', 'vanil'];[];[];https://aromo.ru/fragrance/bytwo-ketu-perfume-water-eau-de-parfum-2419862/
`ilm;Kemi Blending Magic;Парфюмерная вода;5,0;7 оценок;2014;niche;[];['wood'];[];['oud'];[];[];https://aromo.ru/fragrance/kemi-blending-magic-ilm-63553/
Rio de Janeiro Passion Fruit;Monotheme Fine Fragrances Venezia;Туалетная вода;5,0;6 оценок;2012;mass-market;[];['fruit', 'floral'];[];['floral-notes', 'drevesnyje-noty', 'marakuja', 'musk', 'tropicheskije-frukty', 'water-lily'];[];[];https://aromo.ru/fragrance/monotheme-fine-fragrances-venezia-rio-de-janeiro-passion-fruit-toilet-water-eau-de-toilette-84422/
Madeleine;Brocard;Туалетная вода;5,0;6 оценок;2022;mass-market;['bernard-ellena'];['floral', 'gourmet'];['cvetok-mindala', 'jasmine', 'lily'];['cocoa', 'toluansky-balm', 'vanil'];['musk'];['cocoa', 'vanil', 'jasmine', 'musk', 'lily', 'cvetok-mindala', 'toluansky-balm'];https://aromo.ru/fragrance/brocard-madeleine-toilet-water-eau-de-toilette-2414166/
Fruit Wind;Dzintars;Туалетная вода;5,0;4 оценки;;;[];['fruit', 'floral'];['cvetok-kakao', 'klukva', 'mandarin'];['sandal', 'vanil', 'jasmine'];['ambra', 'benzoin', 'pachuli'];[];https://aromo.ru/fragrance/dzintars-fruit-wind-toilet-water-eau-de-toilette-59356/
Mémoire de Roses;L'Artisan Parfumeur;Парфюмерная вода;5,0;4 оценки;;;[];['floral'];[];['bergamot', 'mandarin', 'musk', 'rose'];[];['rose', 'bergamot', 'mandarin', 'musk'];https://aromo.ru/fragrance/lartisan-parfumeur-memoire-de-roses-perfume-water-eau-de-parfum-2406435/
Cereja e Avelã;Natura;;5,0;4 оценки;;;[];['sweet', 'fruit', 'floral'];['granat', 'klukva', 'pink-pepper', 'vishna'];['lily-of-the-valley', 'lesnoj-oreh', 'peony'];['ambra', 'musk', 'sandal', 'vanil'];[];https://aromo.ru/fragrance/natura-cereja-e-avel-572203/
Peach Funky;Ulric de Varens;Парфюмерная вода;5,0;4 оценки;;;[];['east'];['bergamot', 'chernika', 'mandarin'];['gardenija', 'jasmine'];['cashmeran', 'vanil'];['chernika', 'gardenija', 'mandarin', 'vanil'];https://aromo.ru/fragrance/ulric-de-varens-peach-funky-perfume-water-eau-de-parfum-80597/
M Ultra Pink;Mariah Carey;Парфюмерная вода;5,0;4 оценки;;;[];['floral'];['black-currant', 'lesnyje-jagody', 'morskije-noty'];['rozovyy-pion', 'tiare', 'vishnevyj-cvet'];['ambra', 'white-musk', 'drevesnyje-noty'];['black-currant', 'lesnyje-jagody', 'musk', 'peony'];https://aromo.ru/fragrance/mariah-carey-m-ultra-pink-71415/
'Ume;Saffron James;Парфюмерная вода;5,0;4 оценки;;;[];['floral', 'chypre'];[];['dubovyj-moh', 'gardenija', 'ginger', 'yuzu', 'water-lily'];[];[];https://aromo.ru/fragrance/saffron-james-ume-94171/
Beleaf;The Body Shop;Туалетная вода;5,0;4 оценки;;;[];['fruit', 'floral'];['bergamot', 'black-currant', 'pink-pepper'];['inzhir', 'lily-of-the-valley', 'rose'];['musk', 'sandal'];[];https://aromo.ru/fragrance/the-body-shop-beleaf-toilet-water-eau-de-toilette-43375/
Iris & Legni 655 Firenze;Parfums Bombay 1950;Парфюмерная вода;5,0;4 оценки;;;[];['floral', 'wood'];[];['violet', 'galbanum', 'geliotrop', 'iris', 'kedr', 'lily-of-the-valley', 'neroli'];[];[];https://aromo.ru/fragrance/parfums-bombay-1950-firenze_bombay_-iris-655-firenze-57558/
Nastroenie Abrau;Selection Excellence;Парфюмерная вода;5,0;4 оценки;;premium;[];['fern', 'citrus'];['bergamot', 'bitter-orange'];['grapefruit'];['galbanum', 'sandal', 'vetiver'];[];https://aromo.ru/fragrance/selection-excellence-nastroenie-abrau-383379/
Tropical Flor;Agatha Ruiz de la Prada;Туалетная вода;5,0;4 оценки;2014;premium;['julie-masse'];['fruit', 'floral'];['black-currant', 'grusha', 'klubnika', 'mango'];['frangipani', 'frezija'];['ambra', 'white-musk', 'pachuli'];[];https://aromo.ru/fragrance/agatha-ruiz-de-la-prada-tropical-flor-93581/
Impression;Eudora;Парфюмерная вода;5,0;4 оценки;2017;mass-market;[];['amber', 'wood'];[];['ambra', 'balsamic-notes', 'white-pepper', 'kedr', 'pachuli'];[];[];https://aromo.ru/fragrance/eudora-impression-539433/
Lyra Pour Femme;Khalis;Парфюмерная вода;5,0;4 оценки;;mass-market;[];['fruit', 'floral'];['krasnaja-smorodina', 'lichi', 'peony'];['musk', 'jasmine'];['raspberry', 'tropicheskije-frukty'];[];https://aromo.ru/fragrance/halis-lyra-_red-640569/
Pink Warm & Cozy Vacay;Victoria's Secret;Ароматная дымка;5,0;4 оценки;2017;suite;[];['fruit'];[];['klubnika', 'vanil'];[];[];https://aromo.ru/fragrance/victorias-secret-pink-warm-_-cozy-vacay-fragrant-haze-fragrance-mist-411312/
