url;Perfume;Brand;Country;Gender;Year;Top;Middle;Base
https://www.fragrantica.com/perfume/xerjoff/accento-overdose-pride-edition-74630.html;accento-overdose-pride-edition;xerjoff;Italy;unisex;2022;fruity notes, aldehydes, green notes;bulgarian rose, egyptian jasmine, lily-of-the-valley;eucalyptus, pine
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2024-90394.html;classique-pride-2024;jean-paul-gaultier;France;women;2024;yuzu, citruses;orange blossom, neroli;musk, blonde woods
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2023-81775.html;classique-pride-2023;jean-paul-gaultier;France;unisex;2023;blood orange, yuzu;neroli, orange blossom;musk, white woods
https://www.fragrantica.com/perfume/bruno-banani/pride-edition-man-55514.html;pride-edition-man;bruno-banani;Germany;men;2019;guarana, grapefruit, red apple;walnut, lavender, guava;vetiver, benzoin, amber
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html;le-male-pride-collector;jean-paul-gaultier;France;men;2020;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html;le-male-pride-2023;jean-paul-gaultier;France;men;2023;yuzu, blood orange;neroli, orange blossom;musk, white woods
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html;le-male-pride-2024;jean-paul-gaultier;France;men;2024;citruses, yuzu;neroli, orange blossom;woodsy notes, musk
https://www.fragrantica.com/perfume/ralph-lauren/polo-red-pride-edition-62728.html;polo-red-pride-edition;ralph-lauren;USA;men;2020;cranberry, pink grapefruit, citron;clary sage, lavender, saffron;amberwood, brazilian redwood, coffee
https://www.fragrantica.com/perfume/ralph-lauren/ralph-pride-edition-62727.html;ralph-pride-edition;ralph-lauren;USA;women;2020;tangerine, green apple, freesia;magnolia, lime (linden blossom), osmanthus;musk, white iris
https://www.fragrantica.com/perfume/we-pink/waffle-93845.html;waffle;we-pink;Brazil;women;2023;strawberry, almond, raspberry;butter, peach blossom, violet;praline, vanilla, musk
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-edition-73607.html;le-male-pride-edition;jean-paul-gaultier;France;men;2022;blood orange, yuzu;neroli, orange blossom;musk, white woods
https://www.fragrantica.com/perfume/vivamor-parfums/rouge-imperiale-81650.html;rouge-imperiale;vivamor-parfums;France;unisex;2023;saffron, bulgarian rose;australian sandalwood, iris, jasmine;suede, bourbon vanilla, texas cedar
https://www.fragrantica.com/perfume/brocard/cherry-lady-45795.html;cherry-lady;brocard;Russia;women;;watermelon, mango, papaya, pineapple, peach, lemon;lotus, hibiscus;musk, sandalwood, amber
https://www.fragrantica.com/perfume/bybozo/french-kiss-83935.html;french-kiss;bybozo;France;women;2023;lemon verbena, neroli;fig, corn, magnolia, saffron, barberry, cherry blossom;pear wood, meringue, amber
https://www.fragrantica.com/perfume/sospiro-perfumes/erba-oud-75943.html;erba-oud;sospiro-perfumes;Italy;unisex;2022;orange, bergamot, lemon;melon, saffron, peach, apple;agarwood (oud), leather, vanilla, amber, white musk
https://www.fragrantica.com/perfume/trump/donald-trump-22530.html;donald-trump;trump;USA;men;2004;cucumber, black basil, mint, citruses;spicy notes, pepper, herbal notes, woody notes;spicy notes, exotic woods, vetiver
